material type,certification source,material purpose,function,recyclability source,shape,flexibility,component disruptors,opacity,reuse system,recycled content evidence type,product type,deposit return scheme,complete packaging disruptors,level,end of life route
identifier,identifier,identifier,identifier,identifier,identifier,identifier,identifier,identifier,identifier,identifier,identifier,identifier,identifier,identifier,identifier
bm-material-type-0001,certification-source-0001,m-material-purpose-0001,function-0001,recyclability-source-0001,c-shape-0001,c-flexibility-0001,c-disruptors-0001,c-opacity-0001,c-reuse-system-0001,c-recycled-evidence-0001,cp-product-type-0001,cp-drs-0001,cp-disruptors-0001,lc-level-0001,end-of-life-route-0001
bm-material-type-0002,certification-source-0002,m-material-purpose-0002,function-0002,recyclability-source-0002,c-shape-0002,c-flexibility-0002,c-disruptors-0002,c-opacity-0002,c-reuse-system-0002,,cp-product-type-0002,cp-drs-0002,cp-disruptors-0002,lc-level-0002,end-of-life-route-0002
,certification-source-0003,m-material-purpose-0003,function-0003,recyclability-source-0003,c-shape-0003,,c-disruptors-0003,c-opacity-0003,,,cp-product-type-0003,cp-drs-0003,cp-disruptors-0003,lc-level-0003,end-of-life-route-0003
,certification-source-0004,m-material-purpose-0004,function-0004,,c-shape-0004,,c-disruptors-0004,,,,cp-product-type-0004,cp-drs-0004,cp-disruptors-0004,lc-level-0004,end-of-life-route-0004
,,m-material-purpose-0005,function-0005,,c-shape-0005,,c-disruptors-0005,,,,cp-product-type-0005,cp-drs-0005,cp-disruptors-0005,,end-of-life-route-0005
,,m-material-purpose-0006,function-0006,,c-shape-0006,,c-disruptors-0006,,,,cp-product-type-0006,,cp-disruptors-0006,,end-of-life-route-0006
,,m-material-purpose-0007,function-0007,,c-shape-0007,,c-disruptors-0007,,,,cp-product-type-0007,,cp-disruptors-0007,,end-of-life-route-0007
,,m-material-purpose-0008,function-0008,,c-shape-0008,,c-disruptors-0008,,,,cp-product-type-0008,,cp-disruptors-0008,,end-of-life-route-0008
,,m-material-purpose-0009,function-0009,,c-shape-0009,,c-disruptors-0009,,,,cp-product-type-0009,,cp-disruptors-0009,,end-of-life-route-0009
,,m-material-purpose-0010,function-0010,,c-shape-0010,,c-disruptors-0010,,,,cp-product-type-0010,,cp-disruptors-0010,,
,,m-material-purpose-0011,function-0011,,c-shape-0011,,c-disruptors-0011,,,,cp-product-type-0011,,cp-disruptors-0011,,
,,m-material-purpose-0012,function-0012,,c-shape-0012,,c-disruptors-0012,,,,cp-product-type-0012,,cp-disruptors-0012,,
,,m-material-purpose-0013,function-0013,,c-shape-0013,,c-disruptors-0013,,,,cp-product-type-0013,,cp-disruptors-0013,,
,,m-material-purpose-0014,function-0014,,c-shape-0014,,c-disruptors-0014,,,,cp-product-type-0014,,cp-disruptors-0014,,
,,m-material-purpose-0015,function-0015,,c-shape-0015,,c-disruptors-0015,,,,cp-product-type-0015,,cp-disruptors-0015,,
,,m-material-purpose-0016,function-0016,,,,c-disruptors-0016,,,,cp-product-type-0016,,cp-disruptors-0016,,
,,m-material-purpose-0017,function-0017,,,,c-disruptors-0017,,,,cp-product-type-9999,,cp-disruptors-0017,,
,,,function-0018,,,,c-disruptors-0018,,,,,,cp-disruptors-0018,,
,,,function-0019,,,,c-disruptors-0019,,,,,,cp-disruptors-0019,,
,,,function-0020,,,,c-disruptors-0020,,,,,,cp-disruptors-0020,,
,,,function-0021,,,,c-disruptors-0021,,,,,,cp-disruptors-0021,,
,,,function-0022,,,,c-disruptors-0022,,,,,,cp-disruptors-0022,,
,,,function-0023,,,,c-disruptors-0023,,,,,,cp-disruptors-0023,,
,,,function-0024,,,,c-disruptors-0024,,,,,,cp-disruptors-0024,,
,,,function-0025,,,,c-disruptors-0025,,,,,,cp-disruptors-0025,,
,,,function-0026,,,,c-disruptors-0026,,,,,,cp-disruptors-0026,,
,,,function-0027,,,,c-disruptors-0027,,,,,,cp-disruptors-0027,,
,,,function-0028,,,,c-disruptors-0028,,,,,,cp-disruptors-0028,,
,,,function-0029,,,,c-disruptors-0029,,,,,,cp-disruptors-0029,,
,,,function-0030,,,,c-disruptors-0030,,,,,,cp-disruptors-0030,,
,,,function-0031,,,,c-disruptors-0031,,,,,,cp-disruptors-0031,,
,,,function-0032,,,,c-disruptors-0032,,,,,,,,
,,,function-0033,,,,c-disruptors-0033,,,,,,,,
,,,function-0034,,,,c-disruptors-0034,,,,,,,,
,,,function-0035,,,,c-disruptors-0035,,,,,,,,
,,,function-0036,,,,c-disruptors-0036,,,,,,,,
,,,function-0037,,,,c-disruptors-0037,,,,,,,,
,,,function-0038,,,,c-disruptors-0038,,,,,,,,
,,,function-0039,,,,c-disruptors-0039,,,,,,,,
,,,function-0040,,,,,,,,,,,,
,,,function-0041,,,,,,,,,,,,
,,,function-0042,,,,,,,,,,,,
,,,function-0043,,,,,,,,,,,,
,,,function-0044,,,,,,,,,,,,
,,,function-0045,,,,,,,,,,,,
,,,function-0046,,,,,,,,,,,,
,,,function-0047,,,,,,,,,,,,
,,,function-0048,,,,,,,,,,,,